Transaction time,opening,highest,lowest,current,amount
20201113090035_,3700,3700,3700,3700,1000
20201113090035_,3695,3695,3695,3695,50
20201113090035_,3695,3695,3695,3695,5
20201113090036_,3700,3700,3700,3700,30
20201113090036_,3695,3695,3695,3695,2699
20201113090036_,3700,3700,3700,3700,300
20201113090036_,3700,3700,3700,3700,500
20201113090037_,3700,3700,3700,3700,1
20201113090037_,3700,3700,3700,3700,100
20201113090037_,3700,3700,3700,3700,500
20201113090038_,3695,3695,3695,3695,300
20201113090038_,3695,3695,3695,3695,1107
20201113090038_,3695,3695,3695,3695,181193
20201113090038_,3695,3695,3695,3695,1000
20201113090038_,3695,3695,3695,3695,100
20201113090038_,3695,3695,3695,3695,23
20201113090038_,3695,3695,3695,3695,2
20201113090039_,3695,3695,3695,3695,2000
20201113090039_,3695,3695,3695,3695,1
20201113090039_,3695,3695,3695,3695,1000
20201113090039_,3695,3695,3695,3695,100
20201113090039_,3695,3695,3695,3695,100
20201113090039_,3695,3695,3695,3695,2
20201113090040_,3695,3695,3695,3695,100
20201113090040_,3695,3695,3695,3695,100
20201113090040_,3695,3695,3695,3695,300
20201113090040_,3695,3695,3695,3695,100
20201113090040_,3695,3695,3695,3695,30
20201113090041_,3695,3695,3695,3695,2786
20201113090041_,3690,3690,3690,3690,72314
20201113090041_,3695,3695,3695,3695,85
20201113090041_,3690,3690,3690,3690,136
20201113090041_,3690,3690,3690,3690,76
20201113090041_,3695,3695,3695,3695,5000
20201113090041_,3690,3690,3690,3690,2706
20201113090041_,3695,3695,3695,3695,5
20201113090041_,3695,3695,3695,3695,13
20201113090041_,3690,3690,3690,3690,9
20201113090041_,3695,3695,3695,3695,2000
20201113090041_,3690,3690,3690,3690,200
20201113090041_,3690,3690,3690,3690,500
20201113090041_,3695,3695,3695,3695,5
20201113090042_,3695,3695,3695,3695,14500
20201113090042_,3695,3695,3695,3695,100
20201113090043_,3695,3695,3695,3695,1000
20201113090043_,3695,3695,3695,3695,30
20201113090043_,3695,3695,3695,3695,5
20201113090043_,3690,3690,3690,3690,2034
20201113090043_,3695,3695,3695,3695,1500
20201113090043_,3695,3695,3695,3695,100
20201113090043_,3695,3695,3695,3695,32483
20201113090044_,3690,3690,3690,3690,3502
20201113090044_,3690,3690,3690,3690,6000
20201113090044_,3695,3695,3695,3695,100
20201113090044_,3695,3695,3695,3695,250
20201113090045_,3690,3690,3690,3690,135314
20201113090045_,3690,3690,3690,3690,1500
20201113090045_,3690,3690,3690,3690,1932
20201113090045_,3685,3685,3685,3685,1836
20201113090045_,3690,3690,3690,3690,13
20201113090046_,3690,3690,3690,3690,10
20201113090046_,3690,3690,3690,3690,1355
20201113090046_,3690,3690,3690,3690,50
20201113090046_,3690,3690,3690,3690,300
20201113090046_,3690,3690,3690,3690,1000
20201113090046_,3690,3690,3690,3690,10
20201113090046_,3690,3690,3690,3690,134
20201113090046_,3690,3690,3690,3690,23
20201113090047_,3690,3690,3690,3690,100
20201113090047_,3690,3690,3690,3690,10
20201113090047_,3690,3690,3690,3690,58525
20201113090047_,3695,3695,3695,3695,50
20201113090047_,3695,3695,3695,3695,1000
20201113090047_,3690,3690,3690,3690,6024
20201113090047_,3690,3690,3690,3690,9355
20201113090047_,3690,3690,3690,3690,100
20201113090047_,3690,3690,3690,3690,40521
20201113090048_,3695,3695,3695,3695,1000
20201113090048_,3690,3690,3690,3690,375
20201113090048_,3690,3690,3690,3690,401
20201113090048_,3690,3690,3690,3690,100
20201113090048_,3690,3690,3690,3690,2171
20201113090048_,3690,3690,3690,3690,100
20201113090049_,3690,3690,3690,3690,1
20201113090049_,3690,3690,3690,3690,100
20201113090049_,3690,3690,3690,3690,1
20201113090049_,3690,3690,3690,3690,147
20201113090049_,3690,3690,3690,3690,1000
20201113090049_,3690,3690,3690,3690,300
20201113090049_,3685,3685,3685,3685,3900
20201113090049_,3690,3690,3690,3690,200
20201113090049_,3690,3690,3690,3690,200
20201113090049_,3690,3690,3690,3690,5233
20201113090049_,3690,3690,3690,3690,5552
20201113090049_,3690,3690,3690,3690,100
20201113090049_,3685,3685,3685,3685,190169
20201113090049_,3685,3685,3685,3685,50000
20201113090050_,3685,3685,3685,3685,13759
20201113090050_,3685,3685,3685,3685,2
20201113090050_,3685,3685,3685,3685,1
20201113090050_,3685,3685,3685,3685,2
20201113090050_,3685,3685,3685,3685,111
