Transaction date,opening,highest,lowest,current,amount
20190429_,13175,13595,13130,13595,15858317
20190430_,13560,13580,13200,13415,19659398
20190502_,13270,13605,13225,13530,14302649
20190503_,13485,13500,13240,13295,15460211
20190507_,13005,13095,12820,13070,22571224
20190508_,12750,13100,12715,12950,15760878
20190509_,12850,12890,12140,12210,35934867
20190510_,12275,12405,11990,12225,37013993
20190513_,12010,12145,11900,11930,21058575
20190514_,11705,12055,11655,11900,25217998
20190515_,11925,12095,11790,12000,20912109
20190516_,12005,12005,11615,11675,26398132
20190517_,11800,11840,11480,11515,21208138
20190520_,11630,11800,11530,11565,20961949
20190521_,11585,11880,11550,11690,22802034
20190522_,11760,11790,11480,11720,26034291
20190523_,11720,11745,11525,11685,20535742
20190524_,11585,11680,11410,11525,24061676
20190527_,11495,11640,11415,11540,19285851
20190528_,11520,11655,11430,11575,20790693
20190529_,11480,11510,11150,11240,35990405
20190530_,11280,11470,11275,11455,22366574
20190531_,11400,11565,11270,11405,26228590
20190603_,11340,11825,11290,11800,26104266
20190604_,11770,11835,11695,11755,16680875
20190605_,11955,12025,11750,11775,21023334
20190607_,11800,11970,11630,11790,25882835
20190610_,11950,12170,11845,12125,28882750
20190611_,12090,12285,12050,12255,19808208
20190612_,12240,12330,12160,12170,14085240
20190613_,12130,12185,11805,11985,31324042
20190614_,12000,12105,11845,11975,17509413
20190617_,11945,12110,11905,11985,15732808
20190618_,11960,12140,11945,12095,14915412
20190619_,12355,12465,12335,12420,22536825
20190620_,12435,12510,12375,12500,14276631
20190621_,12530,12530,12385,12430,14958069
20190624_,12475,12560,12425,12460,14749586
20190625_,12460,12585,12335,12430,16685609
20190626_,12390,12515,12380,12455,12657234
20190627_,12505,12800,12475,12750,18958299
20190628_,12745,12800,12630,12695,9837833
20190701_,12900,12945,12660,12710,18728909
20190702_,12575,12700,12450,12550,17382884
20190703_,12530,12610,12180,12220,26385093
20190704_,12260,12430,12190,12420,17699595
20190705_,12450,12490,12240,12405,17774649
20190708_,12195,12195,11860,11875,26500612
20190709_,11945,12020,11815,11815,19656560
20190710_,11945,12025,11900,11920,14590336
20190711_,12025,12275,12025,12215,19635492
20190712_,12210,12295,12120,12260,10668092
20190715_,12200,12295,12100,12235,12409281
20190716_,12235,12400,12195,12360,15810918
20190717_,12230,12235,12040,12110,14866421
20190718_,12035,12150,11975,12055,15497387
20190719_,12170,12460,12170,12410,21042474
20190722_,12315,12475,12300,12395,11010996
20190723_,12450,12590,12405,12520,14903648
20190724_,12475,12575,12235,12275,16295473
20190725_,12360,12385,12100,12235,17733567
20190726_,12120,12190,12055,12170,12518707
20190729_,12165,12165,11745,11810,26694959
20190730_,11860,11960,11840,11890,12413574
20190731_,11880,11920,11560,11675,22546568
20190801_,11520,11750,11485,11615,15120977
20190802_,11400,11425,11250,11375,23074208
20190805_,11250,11250,10835,10885,32773134
20190806_,10435,10850,10340,10580,46079984
20190807_,10615,10670,10365,10440,24959487
20190808_,10620,10705,10460,10540,29042924
20190809_,10685,10760,10630,10690,19281300
20190812_,10690,10775,10615,10710,12307424
20190813_,10540,10620,10475,10495,17820120
20190814_,10720,10815,10630,10650,20609720
20190816_,10450,10555,10380,10555,20085781
20190819_,10665,10730,10605,10705,12371244
20190820_,10700,10955,10650,10920,21866879
20190821_,10865,11030,10860,10955,14903303
20190822_,10950,10965,10760,10780,18954833
20190823_,10650,10810,10645,10765,13498069
20190826_,10400,10495,10320,10455,17448103
20190827_,10525,10645,10465,10510,12460938
20190828_,10590,10725,10535,10705,13571673
20190829_,10760,10760,10540,10595,20748253
20190830_,10750,11030,10750,10970,19355214
20190902_,10895,11040,10890,10980,9076253
20190903_,10925,11040,10855,10905,12843933
20190904_,10890,11210,10860,11210,16709909
20190905_,11245,11570,11240,11420,26578849
20190906_,11560,11590,11460,11520,13851736
20190909_,11600,11800,11555,11685,19696730
20190910_,11715,11825,11685,11805,15316182
20190911_,11900,12020,11880,11970,18599663
20190916_,12080,12080,11885,12055,17063649
20190917_,12025,12100,11975,12060,10760241
20190918_,12100,12230,12000,12195,13819710
20190919_,12180,12450,12160,12350,18857312
20190920_,12340,12505,12305,12470,13411075
20190923_,12435,12530,12410,12485,13250637
20190924_,12480,12645,12410,12645,17190475
20190925_,12495,12555,12280,12295,14164961
20190926_,12390,12480,12220,12330,13103094
20190927_,12280,12280,11995,12080,12341070
20190930_,12005,12300,11965,12255,14247583
20191001_,12245,12445,12215,12350,13615694
20191002_,12150,12160,11815,11815,18828245
