Transaction date,opening,highest,lowest,current,amount
20200107_,6300,6315,6190,6235,25751332
20200108_,6325,6405,6250,6325,33597961
20200109_,6135,6195,6110,6110,17723349
20200110_,6090,6110,5995,6005,20554481
20200113_,6005,6015,5870,5870,14064620
20200114_,5800,5840,5745,5825,20518826
20200115_,5865,5920,5840,5895,15149326
20200116_,5895,5910,5770,5775,15670996
20200117_,5705,5775,5650,5745,16546889
20200120_,5700,5700,5595,5655,18847594
20200121_,5670,5800,5650,5795,18389808
20200122_,5820,5830,5620,5635,26093264
20200123_,5705,5795,5690,5775,24228946
20200128_,6050,6195,6000,6130,36279514
20200129_,6080,6160,6030,6095,28813271
20200130_,6115,6375,6090,6330,41288904
20200131_,6235,6480,6205,6480,59175280
20200203_,6630,6695,6410,6465,84418826
20200204_,6455,6475,6200,6230,65001549
20200205_,6100,6240,6075,6180,56607027
20200206_,6045,6060,5780,5800,61550484
20200207_,5835,5970,5830,5895,48344694
20200210_,6040,6080,5950,5960,41221959
20200211_,5905,5915,5770,5840,37477709
20200212_,5860,5895,5730,5745,34299670
20200213_,5710,5805,5650,5790,46537831
20200214_,5795,5855,5655,5700,45475246
20200217_,5715,5775,5660,5695,30714449
20200218_,5795,5915,5770,5900,48933834
20200219_,5835,5995,5805,5875,54694570
20200220_,5790,6015,5770,5930,61630024
20200221_,6125,6145,6005,6125,62908990
20200224_,6355,6585,6350,6575,94418563
20200225_,6630,6645,6425,6435,78830478
20200226_,6700,6730,6545,6615,71717349
20200227_,6665,6810,6585,6770,81085403
20200228_,6995,7240,6920,7205,101702582
20200302_,7130,7320,6975,7065,99106518
20200303_,6745,7070,6710,7015,95770822
20200304_,7125,7130,6660,6695,88807232
20200305_,6600,6720,6500,6565,83815542
20200306_,6715,6885,6680,6825,85632865
20200309_,7255,7500,7195,7420,91256710
20200310_,7430,7545,7270,7305,101176387
20200311_,7355,7825,7315,7750,130760459
20200312_,7905,8575,7845,8340,232154519
20200313_,9590,9785,8330,8700,229000640
20200316_,8540,9410,8400,9410,204351634
