Transaction time,opening,highest,lowest,current,amount
202005281420_,11105,11115,11090,11095,109128
202005281421_,11095,11100,11085,11090,136362
202005281422_,11095,11105,11085,11105,43236
202005281423_,11100,11120,11095,11115,157319
202005281424_,11120,11130,11110,11120,211528
202005281425_,11125,11130,11120,11120,205939
202005281426_,11120,11130,11110,11115,95191
202005281427_,11110,11125,11110,11120,39037
202005281428_,11120,11125,11110,11110,76559
202005281429_,11110,11130,11110,11130,169685
202005281430_,11130,11140,11115,11125,345954
202005281431_,11120,11120,11100,11110,259146
202005281432_,11105,11115,11100,11110,91181
202005281433_,11110,11110,11095,11100,137468
202005281434_,11100,11110,11095,11105,58957
202005281435_,11100,11110,11100,11100,100480
202005281436_,11100,11110,11095,11100,127941
202005281437_,11100,11105,11090,11105,109603
202005281438_,11110,11110,11105,11110,119988
202005281439_,11105,11115,11105,11110,56533
202005281440_,11110,11130,11110,11125,174184
202005281441_,11130,11130,11120,11125,161627
202005281442_,11125,11130,11115,11120,111630
202005281443_,11115,11130,11115,11130,115371
202005281444_,11125,11130,11110,11110,191025
202005281445_,11115,11130,11115,11120,137435
202005281446_,11125,11135,11125,11135,117328
202005281447_,11135,11140,11120,11125,252779
202005281448_,11130,11145,11130,11140,134189
202005281449_,11140,11140,11135,11135,88671
202005281450_,11130,11145,11130,11140,113866
202005281451_,11140,11140,11120,11125,146931
202005281452_,11120,11145,11120,11135,145865
202005281453_,11140,11145,11130,11135,63795
202005281454_,11135,11145,11125,11135,131087
202005281455_,11135,11175,11135,11170,482839
202005281456_,11175,11175,11165,11165,157870
202005281457_,11170,11185,11170,11175,289560
202005281458_,11170,11185,11170,11180,205661
202005281459_,11180,11195,11180,11190,429312
202005281500_,11195,11200,11165,11185,328462
202005281501_,11185,11205,11185,11205,468359
202005281502_,11205,11230,11200,11230,390006
202005281503_,11225,11230,11220,11230,366779
202005281504_,11230,11230,11210,11225,395181
202005281505_,11220,11225,11205,11210,411603
202005281506_,11215,11225,11205,11215,244582
202005281507_,11210,11230,11210,11220,279173
202005281508_,11215,11230,11215,11230,172041
202005281509_,11230,11230,11215,11220,188209
202005281510_,11220,11225,11210,11210,277938
202005281511_,11210,11215,11190,11190,162800
202005281512_,11190,11195,11165,11165,188510
202005281513_,11165,11175,11165,11175,305831
202005281514_,11175,11180,11170,11175,118083
202005281515_,11175,11190,11170,11185,135909
202005281516_,11185,11195,11185,11190,166382
202005281517_,11190,11190,11165,11170,150979
202005281518_,11170,11180,11165,11180,158528
202005281519_,11175,11185,11175,11180,276309
202005281530_,11185,11185,11185,11185,520761
202005281535_,11185,11185,11185,11185,151707
