Transaction time,opening,highest,lowest,current,amount
202004211431_,7195,7200,7180,7195,440895
202004211432_,7190,7200,7185,7195,417596
202004211433_,7190,7190,7175,7180,358020
202004211434_,7180,7185,7165,7170,417797
202004211435_,7165,7180,7165,7175,461262
202004211436_,7180,7185,7175,7185,222570
202004211437_,7185,7185,7175,7185,193945
202004211438_,7185,7195,7180,7180,277004
202004211439_,7185,7195,7180,7190,202239
202004211440_,7190,7195,7180,7195,233357
202004211441_,7195,7200,7190,7195,552721
202004211442_,7200,7210,7195,7205,780601
202004211443_,7205,7210,7195,7205,495776
202004211444_,7205,7210,7195,7200,291946
202004211445_,7205,7210,7195,7210,483265
202004211446_,7205,7220,7205,7215,769618
202004211447_,7210,7220,7210,7220,511307
202004211448_,7220,7220,7205,7215,468023
202004211449_,7215,7215,7205,7210,262563
202004211450_,7210,7215,7195,7205,397733
202004211451_,7200,7205,7195,7195,320041
202004211452_,7195,7210,7195,7205,402947
202004211453_,7200,7210,7200,7200,201939
202004211454_,7200,7205,7195,7200,133443
202004211455_,7195,7200,7185,7190,505576
202004211456_,7190,7195,7185,7190,114456
202004211457_,7190,7200,7185,7195,183851
202004211458_,7195,7200,7190,7195,292026
202004211459_,7200,7205,7195,7200,285942
202004211500_,7200,7200,7170,7180,959667
202004211501_,7175,7180,7165,7165,605945
202004211502_,7170,7180,7165,7180,534620
202004211503_,7175,7185,7175,7180,286258
202004211504_,7175,7180,7170,7170,190743
202004211505_,7170,7175,7155,7165,639060
202004211506_,7165,7175,7160,7170,562069
202004211507_,7170,7180,7170,7175,378613
202004211508_,7180,7180,7165,7165,300616
202004211509_,7170,7170,7150,7170,774058
202004211510_,7165,7170,7150,7155,401808
202004211511_,7155,7165,7150,7150,544791
202004211512_,7155,7160,7150,7155,370092
202004211513_,7150,7165,7150,7155,622798
202004211514_,7150,7155,7145,7155,404667
202004211515_,7150,7155,7135,7140,739067
202004211516_,7135,7140,7105,7110,1594942
202004211517_,7115,7120,7105,7115,548518
202004211518_,7110,7115,7100,7100,997519
202004211519_,7105,7110,7095,7105,1253703
202004211530_,7100,7100,7100,7100,1551879
202004211535_,7100,7100,7100,7100,872325
